id,SpaceType,SpaceType_1,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,F,Q4
301_BS_O_O01,Offices,Shared Cellular Offices,24,90,-1,3.75,5,1,22.5,0.00759,3,55.5,0.02775,12,7.88,0.35,5,0.25,0.9375,18.59,11.39,0.00545,0.707,13.625,0.665,63.63,2.828
301_BS_O_O02,Offices,Shared Cellular Offices,12,45,-1,3.75,5,1,11.25,0.0038,4,41.25,0.02063,12,3.37,0.3,3,0.25,0.9375,18.73,11.52,0.00543,0.648,13.621,0.665,29.16,2.592
301_BS_O_O03,Offices,Shared Cellular Offices,10,37.5,-1,3.75,5,1,9.37,0.00316,4,39.38,0.01969,12,2.25,0.24,2,0.2499,0.937,18.14,10.93,0.00531,0.61,14.062,0.686,22.875,2.441302028
301_BS_O_O04,Offices,Shared Cellular Offices,16.5,61.88,-1,3.75,5,1,11.25,0.0038,3,52.5,0.02625,12,3.37,0.3,4,0.1818,0.6818,18.34,11.13,0.00533,0.441,13.8,0.673,27.28908,2.425696
301_BS_O_O05,Offices,Shared Cellular Offices,24.75,92.81,-1,3.75,320,2,20.63,0.00696,3,54.38,0.02719,12,6.75,0.327,5,0.2223,0.8336,18.16,10.95,0.00532,0.787,13.918,0.679,73.04147,3.540546292
301_BS_O_O06,Offices,Shared Cellular Offices,24.75,92.81,-1,3.75,230,2,37.5,0.01266,2,37.5,0.01875,12,3.37,0.09,5,0.4041,1.5152,18.28,11.07,0.00527,1.876,14.685,0.717,174.11156,4.642974933
301_F0_EF_LR01,Educational Facilities,Lecture Rooms,24,90,0,3.75,140,2,33.75,0.01139,3,37.5,0.01875,12,5.63,0.167,10,0.375,1.4063,21.6,14.39,0.00541,1.427,13.94,0.68,128.43,3.805333333
301_F0_EF_LR02,Educational Facilities,Lecture Rooms,44,165,0,3.75,140,2,50.63,0.01709,3,50.63,0.02531,12,5.63,0.111,18,0.3068,1.1507,20.03,12.82,0.0053,1.758,15.294,0.746,290.07,5.72921193
301_F0_EF_SR01,Educational Facilities,Study Rooms,119,446.25,0,3.75,320,2,71.25,0.02405,9,120,0.06,12,37.13,0.521,48,0.1597,0.5987,16.95,9.74,0.0052,0.261,16.015,0.782,116.47125,1.634684211
301_F0_EF_W01,Educational Facilities,Workshops,63.75,239.06,0,3.75,50,2,48.75,0.01645,6,71.25,0.03563,12,15.75,0.323,25,0.2039,0.7647,13.63,6.42,0.00507,0.223,17.796,0.869,53.31038,1.093546256
301_F0_O_O01,Offices,Shared Cellular Offices,24,90,0,3.75,185,1,22.5,0.00759,3,52.5,0.02625,12,5.62,0.25,5,0.25,0.9375,22.67,15.46,0.0054,1.192,13.726,0.67,107.28,4.768
