id,ZoneType,Area,Vol,Level,H,Orien,Nef,Aef,Lef,Naz,Apw,Lpw,Q50,Wa,WWR,Occ,AefV,AefA,Tin,DT,Hum,ACH,PM25,IO,f,q4
IC_F0_O_M01,Meeting Room ,88.25,317.7,0,3.6,320,2,113.4,0.02421,3,34.2,0.0073,7,21.52,0.19,88.25,0.35694,1.28499,20.06798427,12.85966953,0.00778735,1.012978407,12.6522843,0.617485813,321.8232399,2.837947442
IC_F0_O_O01,Shared Cellular Office,21,75.6,0,3.6,95,1,25.2,0.00538,3,46.8,0.00999,7,2.62,0.104,2.333,0.33333,1.2,20.47021938,13.26190464,0.005941319,0.340806399,12.28465813,0.599544077,25.76496376,1.022419197
IC_F1_EF_LB01,Lab,117,421.2,1,3.6,50,2,133.2,0.02844,4,46.8,0.00999,7,24.15,0.181,46.8,0.31624,1.13846,18.56671063,11.3583959,0.005856172,0.813475211,11.87840851,0.57971735,342.6357589,2.572340532
IC_F1_EF_SR01,Seminar Room,84,302.4,1,3.6,320,2,93.6,0.01998,1,43.2,0.00922,7,45.15,0.482,33.6,0.30952,1.11429,16.54878886,9.340474124,0.005640428,0.778989139,12.34671225,0.602572584,235.5663156,2.516734141
IC_F1_O_M01,Meeting Room ,36,129.6,1,3.6,320,2,50.4,0.01076,1,39.6,0.00845,7,24.02,0.477,36,0.38889,1.4,19.09051507,11.88220033,0.00708973,1.482803922,14.6044988,0.712762265,192.1713883,3.812924371
IC_F2_EF_LB01,Lab,45,162,2,3.6,320,2,52.2,0.01114,2,52.2,0.01114,7,12.4,0.238,18,0.32222,1.16,17.76368451,10.55536978,0.005907956,1.106562319,11.23729764,0.548428386,179.2630957,3.434158921
IC_F2_EF_LB02,Lab,60,216,2,3.6,5,1,21.6,0.00461,3,93.6,0.01998,7,17.05,0.789,24,0.1,0.36,19.4071926,12.19887787,0.00678625,0.101570376,7.904933374,0.385794699,21.93920122,1.01570376
IC_F2_EF_LB03,Lab,70,252,2,3.6,5,1,25.2,0.00538,3,97.2,0.02075,7,20.15,0.8,28,0.1,0.36,19.916494,12.70817927,0.007369612,0.112830278,6.949315175,0.339156426,28.43323006,1.12830278
IC_F2_EF_LB04,Lab,58.88,211.95,2,3.6,50,2,27.9,0.00596,4,92.7,0.01979,7,17.82,0.639,23.552,0.13163,0.47385,19.92331108,12.71499635,0.007013484,0.147226287,7.811047719,0.381212675,31.20461153,1.118444858
IC_F2_O_M01,Meeting Room ,33,118.8,2,3.6,320,2,61.2,0.01307,4,32.4,0.00692,7,14.4,0.235,33,0.51515,1.85455,19.84206746,12.63375272,0.007326787,1.095600733,12.30592804,0.60058214,130.1573671,2.126754364
IC_F3_EF_LB01,Lab,45,162,3,3.6,320,2,52.2,0.01114,2,52.2,0.01114,7,12.4,0.238,18,0.32222,1.16,17.67449179,10.46617706,0.005990285,0.994959079,10.19602705,0.49760991,161.1833708,3.087804038
IC_F3_EF_LB02,Lab,60,216,3,3.6,5,1,21.6,0.00461,3,93.6,0.01998,7,17.05,0.789,24,0.1,0.36,19.50575138,12.29743665,0.006684021,0.070244116,8.238183534,0.402058738,15.17272906,0.70244116
IC_F3_EF_LB03,Lab,70,252,3,3.6,5,1,25.2,0.00538,3,97.2,0.02075,7,20.15,0.8,28,0.1,0.36,20.04960481,12.84129008,0.007130159,0.076555459,7.49882266,0.365974752,19.29197567,0.76555459
IC_F3_EF_LB04,Lab,58.88,211.95,3,3.6,50,2,27.9,0.00596,4,92.7,0.01979,7,17.82,0.639,23.552,0.13163,0.47385,20.20533903,12.9970243,0.006768065,0.098202598,8.32365484,0.406230104,20.81404065,0.746022962
IC_F3_O_M01,Meeting Room ,33,118.8,3,3.6,320,2,61.2,0.01307,4,32.4,0.00692,7,14.4,0.235,33,0.51515,1.85455,20.08473008,12.87641535,0.007381886,1.0210299,11.19228459,0.546231556,121.2983521,1.981999218
IC_F4_EF_LB01,Lab,45,162,4,3.6,320,2,52.2,0.01114,2,52.2,0.01114,7,12.4,0.238,18,0.32222,1.16,17.18769881,9.979384082,0.005903858,0.910138807,10.09368616,0.492615235,147.4424867,2.824568711
IC_F4_EF_LB02,Lab,60,216,4,3.6,5,1,21.6,0.00461,3,93.6,0.01998,7,17.05,0.789,24,0.1,0.36,18.30716766,11.09885293,0.006418878,0.051558121,8.843618862,0.431606582,11.13655414,0.51558121
IC_F4_EF_LB03,Lab,70,252,4,3.6,5,1,25.2,0.00538,3,97.2,0.02075,7,20.15,0.8,28,0.1,0.36,18.57815001,11.36983528,0.006720709,0.055075181,8.248423542,0.402558494,13.87894561,0.55075181
IC_F4_EF_LB04,Lab,58.88,211.95,4,3.6,50,2,27.9,0.00596,4,92.7,0.01979,7,17.83,0.639,23.552,0.13163,0.47385,18.83282127,11.62450654,0.006410227,0.070091033,9.044749874,0.441422639,14.85579444,0.532465751
IC_F4_O_M01,Meeting Room ,33,118.8,4,3.6,320,2,61.2,0.01307,4,32.4,0.00692,7,14.4,0.235,33,0.51515,1.85455,19.06377229,11.85545755,0.007146263,0.959745833,10.58607816,0.516646079,114.017805,1.863036029
